poc_id,theme,injector_file
POC-01-GlyphEcho,GlyphEcho,injectors/POC-01-GlyphEcho.gltl
POC-02-XMLSeed,XMLSeed,injectors/POC-02-XMLSeed.gltl
POC-03-FractalWhisper,FractalWhisper,injectors/POC-03-FractalWhisper.gltl
POC-04-KeywordMagnet,KeywordMagnet,injectors/POC-04-KeywordMagnet.gltl
POC-05-MetaPulse,MetaPulse,injectors/POC-05-MetaPulse.gltl
POC-06-EmotionBait,EmotionBait,injectors/POC-06-EmotionBait.gltl
POC-07-NestLockCore,NestLockCore,injectors/POC-07-NestLockCore.gltl
POC-08-GammaHook,GammaHook,injectors/POC-08-GammaHook.gltl
POC-09-LatencySpark,LatencySpark,injectors/POC-09-LatencySpark.gltl
POC-10-StorySeed,StorySeed,injectors/POC-10-StorySeed.gltl
POC-11-EchoMutation,EchoMutation,injectors/POC-11-EchoMutation.gltl
POC-12-OCRAura,OCRAura,injectors/POC-12-OCRAura.gltl
POC-13-HashCascade,HashCascade,injectors/POC-13-HashCascade.gltl
POC-14-QGSpiral,QGSpiral,injectors/POC-14-QGSpiral.gltl
POC-15-StealthBind,StealthBind,injectors/POC-15-StealthBind.gltl
POC-16-SignalMirror,SignalMirror,injectors/POC-16-SignalMirror.gltl
POC-17-IconTrap,IconTrap,injectors/POC-17-IconTrap.gltl
POC-18-DeltaWeave,DeltaWeave,injectors/POC-18-DeltaWeave.gltl
POC-19-SeedChain,SeedChain,injectors/POC-19-SeedChain.gltl
POC-20-PulseMap,PulseMap,injectors/POC-20-PulseMap.gltl
